driver,trip,v_avg,a_avg,r_avg,v_var,a_var,r_var,v_a,v_b,v_c,v_d,a_a,a_b,a_c,r_a,r_b,r_c
41030402427,1,6,0.218219,1209.078947,33.465922,0.154504,242766.4531,0.564121,0.224947,0.16328,0.047652,0.594954,0.288718,0.116328,0.585144,0.348283,0.066573
41030402427,2,3,0.305416,1064.181818,24.574448,0.283866,185456.3409,0.575369,0.291626,0.133005,0,0.57734,0.210837,0.211823,0.57734,0.365517,0.057143
41030402427,3,5,0.121377,1168.5,24.310541,0.012078,224469.14,0.574566,0.269364,0.156069,0,0.531792,0.393064,0.075145,0.56763,0.354913,0.077457
41030402427,4,7,0.185244,1175.392593,41.511023,0.323999,260512.1507,0.498039,0.196078,0.214994,0.090888,0.685582,0.236217,0.078201,0.432757,0.505882,0.061361
41030402427,5,9,0.255851,1311.179487,53.36958,0.440556,309291.7347,0.39738,0.131823,0.318504,0.152293,0.543395,0.299945,0.156659,0.32369,0.60726,0.06905
41030402427,6,5,0.137464,1213.269231,24.955366,0.013413,168325.1646,0.682558,0.077907,0.239535,0,0.45,0.50814,0.04186,0.45814,0.502326,0.039535
41030402427,7,5,0.633611,1321.142857,24.57378,0.703718,710257.8095,0.786486,0.12973,0.083784,0,0.767568,0.2,0.032432,0.778378,0.113514,0.108108
41030402427,8,11,1.222222,1197,7.426698,1.240226,357492.6667,0,0.294118,0.705882,0,0,0,1,0.529412,0.235294,0.235294
41030402427,9,6,0.287497,1219.418605,50.795802,0.523081,373730.4015,0.423963,0.274885,0.141244,0.159908,0.52235,0.357834,0.119816,0.485945,0.3053,0.208756
41030402427,10,8,0.119475,1230.386792,52.90545,0.049497,332199.2299,0.535817,0.099519,0.210817,0.153846,0.770192,0.176683,0.053125,0.488702,0.469471,0.041827
41030402427,11,3,1.281085,689.166667,31.22428,3.200438,706617.7667,0.952381,0.02381,0.02381,0,0.18254,0.555556,0.261905,0.952381,0.047619,0
41030402427,12,8,0.710114,883.857143,61.445473,0.779875,620895.8095,0.868571,0.034286,0.062857,0.034286,0.017143,0.885714,0.097143,0.937143,0.034286,0.028571
41030402427,13,3,0.099393,966.42,17.905045,0.012428,140559.6771,0.761388,0.163774,0.074837,0,0.712039,0.211497,0.076464,0.70987,0.29013,0
41030402427,14,10,0.811287,1031.75,21.013374,0.233834,93040.25,0.166667,0.541667,0.291667,0,0,0.166667,0.833333,0.708333,0.291667,0
41030402427,15,3,0.185531,1035.408163,19.058117,0.119812,193270.4966,0.736015,0.177876,0.086109,0,0.55814,0.294783,0.147077,0.681332,0.275927,0.04274
