,date,hour,minute,dep,arr,dep_delay,arr_delay,carrier,flight,dest,plane,cancelled,time,dist,low_dest
0,2011/12/1,10.0,47.0,1047.0,1429.0,20.0,17.0,XE,4434,RIC,N11113,0,146.0,1157,ric
1,2011/12/1,7.0,18.0,718.0,1105.0,-2.0,-8.0,XE,4602,DTW,N11121,0,139.0,1075,dtw
2,2011/12/2,7.0,13.0,713.0,1058.0,-2.0,-6.0,XE,4501,PIT,N11107,0,146.0,1117,pit
3,2011/12/3,19.0,1.0,1901.0,2230.0,-1.0,-14.0,XE,4509,RIC,N11113,0,134.0,1157,ric
4,2011/12/4,16.0,8.0,1608.0,2004.0,18.0,40.0,XE,4477,RDU,N11121,0,123.0,1042,rdu
5,2011/12/4,12.0,51.0,1251.0,1525.0,-4.0,-16.0,XE,4566,MSP,N11113,0,120.0,1034,msp
6,2011/12/5,7.0,26.0,726.0,1123.0,6.0,10.0,XE,4602,DTW,N11107,0,140.0,1075,dtw
7,2011/12/7,13.0,2.0,1302.0,1649.0,-8.0,6.0,XE,4090,GRR,N11113,0,138.0,1042,grr
8,2011/12/10,16.0,42.0,1642.0,2029.0,22.0,17.0,XE,4502,PIT,N11113,0,145.0,1117,pit
9,2011/12/12,7.0,37.0,737.0,931.0,-3.0,-7.0,XE,4183,PHX,N11113,0,161.0,1009,phx
10,2011/12/12,13.0,30.0,1330.0,1713.0,0.0,-3.0,XE,4332,RIC,N11121,0,143.0,1157,ric
11,2011/12/12,10.0,18.0,1018.0,1348.0,-7.0,-22.0,XE,4515,RDU,N11107,0,132.0,1042,rdu
12,2011/12/12,7.0,16.0,716.0,1057.0,-4.0,-16.0,XE,4602,DTW,N11109,0,138.0,1075,dtw
13,2011/12/13,7.0,16.0,716.0,1104.0,-4.0,-9.0,XE,4602,DTW,N10156,0,135.0,1075,dtw
14,2011/12/14,7.0,19.0,719.0,1051.0,-1.0,-3.0,XE,4163,RDU,N11109,0,129.0,1042,rdu
15,2011/12/14,8.0,3.0,803.0,1033.0,-2.0,-26.0,XE,4455,MSP,N11121,0,131.0,1034,msp
16,2011/12/14,7.0,11.0,711.0,1046.0,-4.0,-18.0,XE,4501,PIT,N11119,0,140.0,1117,pit
17,2011/12/15,8.0,4.0,804.0,1041.0,-2.0,-21.0,XE,4262,MSP,N11109,0,128.0,1034,msp
18,2011/12/15,10.0,25.0,1025.0,1401.0,10.0,0.0,XE,4398,PIT,N10156,0,134.0,1117,pit
19,2011/12/16,7.0,9.0,709.0,904.0,-1.0,-9.0,XE,4656,PHX,N11121,0,154.0,1009,phx
20,2011/12/16,13.0,57.0,1357.0,1731.0,5.0,0.0,XE,4657,RIC,N11121,0,133.0,1157,ric
21,2011/12/17,10.0,56.0,1056.0,1236.0,86.0,65.0,XE,4282,PHX,N11109,0,145.0,1009,phx
22,2011/12/17,7.0,17.0,717.0,1042.0,2.0,0.0,XE,4407,RDU,N11121,0,120.0,1042,rdu
23,2011/12/17,13.0,55.0,1355.0,1651.0,9.0,18.0,XE,4707,MSP,N11121,0,154.0,1034,msp
24,2011/12/18,10.0,22.0,1022.0,1407.0,7.0,8.0,XE,4398,PIT,N11109,0,149.0,1117,pit
25,2011/12/18,11.0,41.0,1141.0,1418.0,11.0,1.0,XE,4712,MSP,N11106,0,137.0,1034,msp
26,2011/12/19,10.0,38.0,1038.0,1412.0,13.0,6.0,XE,4408,RIC,N11113,0,140.0,1157,ric
27,2011/12/19,12.0,52.0,1252.0,1444.0,2.0,-34.0,XE,4416,SLC,N11121,0,159.0,1195,slc
28,2011/12/19,7.0,27.0,727.0,1121.0,-3.0,-6.0,XE,4702,IAD,N10156,0,154.0,1190,iad
29,2011/12/23,11.0,26.0,1126.0,1413.0,-4.0,-6.0,XE,4712,MSP,N11113,0,143.0,1034,msp
30,2011/12/26,7.0,22.0,722.0,953.0,-3.0,-28.0,XE,4262,MSP,N11106,0,129.0,1034,msp
31,2011/12/26,10.0,36.0,1036.0,1358.0,1.0,-11.0,XE,4690,GRR,N11121,0,120.0,1042,grr
32,2011/12/26,7.0,26.0,726.0,1115.0,-4.0,-12.0,XE,4702,IAD,N11113,0,149.0,1190,iad
33,2011/12/27,10.0,35.0,1035.0,1425.0,10.0,19.0,XE,4408,RIC,N11121,0,139.0,1157,ric
34,2011/12/27,7.0,10.0,710.0,1105.0,0.0,5.0,XE,4598,DTW,N10156,0,151.0,1075,dtw
35,2011/12/27,14.0,9.0,1409.0,1737.0,17.0,6.0,XE,4657,RIC,N10156,0,132.0,1157,ric
36,2011/12/28,7.0,41.0,741.0,1028.0,-4.0,-13.0,XE,4262,MSP,N10156,0,149.0,1034,msp
37,2011/12/28,10.0,8.0,1008.0,1346.0,-7.0,-15.0,XE,4398,PIT,N11109,0,139.0,1117,pit
38,2011/12/28,10.0,46.0,1046.0,1415.0,11.0,6.0,XE,4690,GRR,N11121,0,134.0,1042,grr
39,2011/12/28,17.0,34.0,1734.0,2121.0,14.0,13.0,XE,4704,PIT,N11106,0,139.0,1117,pit
40,2011/12/29,7.0,43.0,743.0,1105.0,-2.0,24.0,XE,4262,MSP,N11119,0,151.0,1034,msp
41,2011/12/30,15.0,35.0,1535.0,1909.0,0.0,1.0,XE,4275,RDU,N11107,0,130.0,1042,rdu
