date,hour,minute,dep,arr,dep_delay,arr_delay,carrier,flight,dest,plane,cancelled,time,dist
2011/12/1,14,31,1431,1730,-4,-9,XE,4319,SAV,N11121,0,104,851
2011/12/1,21,15,2115,2229,-10,-7,XE,4342,LRD,N11107,0,50,301
2011/12/1,10,47,1047,1429,20,17,XE,4434,RIC,N11113,0,146,1157
2011/12/1,19,24,1924,2234,-1,1,XE,4525,SAV,N11106,0,105,851
2011/12/1,7,18,718,1105,-2,-8,XE,4602,DTW,N11121,0,139,1075
2011/12/1,20,18,2018,2200,-2,-9,XE,4674,BNA,N11121,0,82,657
2011/12/2,21,20,2120,2230,-5,-6,XE,4342,LRD,N11113,0,53,301
2011/12/2,10,25,1025,1352,-5,-2,XE,4366,CLT,N11121,0,120,912
2011/12/2,11,49,1149,1346,-6,-4,XE,4443,MCI,N11106,0,96,643
2011/12/2,10,10,1010,1140,-5,-18,XE,4480,BHM,N11113,0,75,562
2011/12/2,7,13,713,1058,-2,-6,XE,4501,PIT,N11107,0,146,1117
2011/12/2,14,23,1423,1736,8,-2,XE,4563,CRW,N11107,0,117,975
2011/12/3,13,6,1306,1431,-4,-9,XE,4144,MEM,N11107,0,63,468
2011/12/3,19,49,1949,2257,-2,-8,XE,4345,CHS,N11107,0,112,925
2011/12/3,19,1,1901,2230,-1,-14,XE,4509,RIC,N11113,0,134,1157
2011/12/3,19,27,1927,2124,-3,-23,XE,4594,DSM,N11121,0,95,802
2011/12/4,16,8,1608,2004,18,40,XE,4477,RDU,N11121,0,123,1042
2011/12/4,19,20,1920,2046,-5,-11,XE,4554,XNA,N11106,0,59,438
2011/12/4,12,51,1251,1525,-4,-16,XE,4566,MSP,N11113,0,120,1034
2011/12/5,15,13,1513,1638,38,47,XE,4094,ABQ,N11107,0,117,744
2011/12/5,21,25,2125,2239,0,13,XE,4116,CRP,N11106,0,48,201
2011/12/5,20,33,2033,2337,42,30,XE,4345,CHS,N11107,0,106,925
2011/12/5,7,26,726,1123,6,10,XE,4602,DTW,N11107,0,140,1075
2011/12/5,16,43,1643,1827,33,39,XE,4657,BHM,N11106,0,79,562
2011/12/6,8,56,856,1053,-2,-14,XE,4400,OMA,N11107,0,100,781
2011/12/6,NA,NA,NA,NA,NA,NA,XE,4525,SAV,N11113,1,NA,851
2011/12/7,13,2,1302,1649,-8,6,XE,4090,GRR,N11113,0,138,1042
2011/12/8,14,13,1413,1718,-2,-6,XE,4151,LEX,N11107,0,101,828
2011/12/8,19,18,1918,2318,-2,NA,XE,4268,CID,N11106,0,NA,845
2011/12/8,10,56,1056,1131,-9,1,XE,4302,HOB,N11113,0,78,501
2011/12/8,15,35,1535,1716,-10,-13,XE,4331,HSV,N11113,0,81,595
2011/12/8,19,49,1949,2237,-6,-19,XE,4456,JAX,N11107,0,95,817
2011/12/9,9,11,911,1007,-4,-6,XE,4338,LFT,N11106,0,32,201
