Name,TimeDate,power,baro,windspeed1,windspeed2,winddirection,temp,power_max,power_min,power_dev,baro_max,baro_min,baro_dev,windspeed1_max,windspeed1_min,windspeed1_dev,windspeed2_max,windspeed2_min,windspeed2_dev,winddirection_max,winddirection_min,winddirection_dev,temp_max,temp_min,temp_std,grid,fault,grid_max,grid_min,grid_std,fault_max,fault_min,fault_std,windcha,tlqd,K_temp,md,v3,cp
1,2016/11/9 13:00,-21.27,997.63,2.81,2.76,226.59,-0.51,43.45,-41.42,19.46,997.94,997.29,0.0,4.82,1.09,0.83,4.88,1.06,0.81,275.73,175.56,14.34,-0.3,-1.24,0.28,0.6,0,1,0,0.5,0,0,0,0.05,0.29537366548,272.64,1.2747422379,22.188041,-0.00138011003641
1,2016/11/9 11:10,-38.7,999.04,3.01,2.97,209.9,-2.11,-19.73,-51.16,4.25,999.24,998.83,0.0,4.97,1.85,0.63,5.07,1.81,0.62,245.27,184.96,10.77,-2.11,-2.46,0.1,0.2,0,1,0,0.4,0,0,0,0.04,0.209302325581,271.04,1.28407957263,27.270901,-0.00202818282714
1,2016/11/9 12:10,-38.05,998.46,3.14,3.1,243.0,-1.4,-11.24,-49.9,5.71,998.53,998.23,0.0,5.06,2.24,0.53,4.83,2.2,0.5,311.91,210.15,18.29,-1.09,-1.65,0.15,0.6,0,1,0,0.5,0,0,0,0.04,0.168789808917,271.75,1.27998112962,30.959144,-0.00176217773637
1,2016/11/9 11:50,-30.16,998.61,3.19,3.12,218.4,-1.65,30.88,-48.64,17.55,998.89,998.43,0.0,5.17,1.95,0.63,5.26,1.86,0.63,301.46,181.89,19.06,-1.31,-1.9,0.1,0.3,0,1,0,0.5,0,0,0,0.07,0.197492163009,271.5,1.28135221981,32.461759,-0.00133069437954
1,2016/11/9 13:20,-27.64,997.26,3.3,3.27,227.41,-0.52,170.75,-48.33,33.38,997.52,997.08,0.0,4.98,1.45,0.68,5.08,1.66,0.67,254.69,162.23,10.24,-0.44,-0.94,0.1,0.8,0,1,0,0.4,0,0,0,0.03,0.206060606061,272.63,1.27431620268,35.937,-0.00110766025863
1,2016/11/9 12:00,-32.8,998.49,3.31,3.25,234.05,-1.56,41.25,-47.07,9.41,998.71,998.28,0.0,4.97,1.75,0.77,5.08,1.66,0.79,267.06,199.88,15.76,-1.22,-1.67,0.14,0.1,0,1,0,0.3,0,0,0,0.06,0.232628398792,271.59,1.28077367766,36.264691,-0.00129600008223
1,2016/11/9 10:30,-35.87,999.43,3.34,3.29,233.77,-2.71,28.99,-53.04,8.04,999.63,999.22,2.61,4.52,2.14,0.54,4.48,2.1,0.52,256.7,202.39,10.82,-2.71,-2.99,0.09,0.3,0,1,0,0.4,0,0,0,0.05,0.161676646707,270.44,1.28743082457,37.259704,-0.00137232076007
1,2016/11/9 10:20,-38.01,999.48,3.38,3.29,233.53,-2.89,-0.87,-53.99,9.88,999.67,999.22,1.91,4.52,2.44,0.46,4.48,2.4,0.44,265.23,203.68,10.46,-2.88,-3.37,0.1,0.8,0,1,0,0.4,0,0,0,0.09,0.136094674556,270.26,1.28835273723,38.614472,-0.00140216959136
1,2016/11/9 11:00,-30.68,999.13,3.47,3.4,233.18,-2.45,57.91,-52.73,21.97,999.24,998.97,1.08,4.87,1.9,0.58,4.83,1.76,0.58,257.48,196.42,10.3,-2.19,-2.72,0.11,0.5,0,1,0,0.5,0,0,0,0.07,0.167146974063,270.7,1.28580820387,41.781923,-0.0010480410623
1,2016/11/9 12:30,-26.79,998.25,3.49,3.46,244.89,-1.23,198.41,-48.02,28.97,998.51,998.07,0.0,4.87,2.19,0.51,5.03,2.3,0.5,277.11,197.8,12.56,-1.1,-1.49,0.08,1.0,0,1,1,0.0,0,0,0,0.03,0.146131805158,271.92,1.27891186374,42.508549,-0.000904364230533
