REGION,DATE,WEEK,HOLIDAY,Min_T,Max_T,AVG_T,RAIN,0:00:00,0:30:00,1:00:00,1:30:00,2:00:00,2:30:00,3:00:00,3:30:00,4:00:00,4:30:00,5:00:00,5:30:00,6:00:00,6:30:00,7:00:00,7:30:00,8:00:00,8:30:00,9:00:00,9:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,17:00:00,17:30:00,18:00:00,18:30:00,19:00:00,19:30:00,20:00:00,20:30:00,21:00:00,21:30:00,22:00:00,22:30:00,23:00:00,23:30:00,AVG_ELE,TOTAL_ELE
NSW,2015/1/1,4,1,21.4,28.4,24.9,0,7057.51,6920.94,6668.71,6327.71,6056.02,5827.97,5711.33,5653.85,5625.27,5618.95,5580.51,5589.51,5646.63,5806.57,5998.21,6221.81,6361.85,6572.36,6777.41,6984.62,7149.04,7298.73,7473.69,7657.83,7799.16,7916.74,8056.15,8266.21,8448.61,8672.66,8853.28,9053.87,9167.67,9198.8,9324.24,9253.41,9063.39,8904.95,8722.41,8592.39,8600.25,8441.17,8202.75,8023.55,7785.96,7653.88,7403.39,7173.16,7399.2725,355165.08
NSW,2015/1/2,5,0,21.2,28.5,24.85,0,7021.85,6822.81,6558.29,6242.62,6016.26,5867.81,5801.32,5760.09,5772.57,5889.18,5966.97,6181.37,6395.72,6637.65,6910.14,7224.8,7471.87,7806.61,8020.69,8161.89,8372.91,8510.58,8662.26,8810.83,8929.2,9001.9,9117.04,9259.82,9337.47,9284.24,9282.71,9277.02,9255.25,9230.12,9199.53,9033.57,8941.91,8770.09,8686.1,8674.98,8759.24,8600.01,8386.07,8337.14,8148.4,8013.82,7830.62,7587.17,7871.468958,377830.51
NSW,2015/1/3,6,0,22,28.8,25.4,0,7369.24,7103.85,6805.65,6500.84,6227.6,6059.72,5951.53,5920.77,5899.93,5957.89,5945.91,5993.53,6159.59,6388.73,6705.12,7083.51,7423.65,7810.21,8005.55,8174.89,8274.93,8468.37,8651.19,8775.72,8907.11,9004.92,9166.45,9245.85,9313.02,9438.61,9565.05,9684.68,9776.91,9726.92,9793.2,9677.17,9624.86,9419.48,9165.93,8937.24,8937.53,8794.29,8500.13,8357.49,8130.8,7915.78,7613.03,7306.6,7992.936875,383660.97
NSW,2015/1/4,7,0,22.4,30.4,26.4,0,7088,6824.96,6601.17,6295.69,6104.46,5985.68,5934.04,5882.88,5857.85,5872.42,5851.28,5885.85,6005.61,6278.26,6544.54,6853.5,7094.17,7439.69,7765,8039.13,8291.87,8532.12,8798.72,8972.46,9173.52,9404.24,9500.23,9592.57,9591.05,9588.73,9690.85,9653.68,9646.3,9461.21,9376.67,9230.13,9089.92,8955.51,8763.35,8578.79,8408.6,8213.51,7885.08,7693.58,7496.18,7339.71,7047.21,6835.27,7812.8175,375015.24
NSW,2015/1/5,1,0,20.5,26.3,23.4,0,6680.09,6519.69,6316.52,6051.32,5903.09,5814.48,5764.9,5803.09,5865.89,6073.7,6240.27,6575.15,6926.1,7352.64,7728.89,8056.67,8369.48,8597.74,8682.53,8747.46,8784.03,8807.35,8893.58,8932.3,8917.55,8916.67,8921.32,8939.81,8967.6,9033.41,9125.23,9194.68,9246.73,9228.33,9221.07,9012.7,8899.34,8644.14,8488.08,8517.12,8540.34,8340.37,8119.25,8073.51,7842.84,7729.15,7567.66,7354.4,7923.505417,380328.26
NSW,2015/1/6,2,0,21.3,28.2,24.75,0,7169.31,6947.73,6708.97,6410.24,6215.53,6054.67,6005.74,6008.75,6062.54,6235.22,6406.22,6723.42,7123.23,7519.16,7900.92,8245.85,8498.59,8774.78,8867.51,9022.74,9061.66,9124.16,9184.65,9245.78,9305.44,9479.65,9560.88,9649.06,9744.08,9763.15,9886.83,9925.2,10010.99,10029.46,9987.85,9709.02,9521.63,9222.77,9028.27,8955.32,9011.82,8844.17,8593.94,8476.89,8172.71,8026.48,7844.62,7568.82,8329.925417,399836.42
NSW,2015/1/7,3,0,22.8,29.3,26.05,0,7425.02,7243.22,6985.26,6684.28,6449.1,6310.74,6226.94,6187.54,6264.59,6485.86,6599.21,6920.22,7249.5,7694.4,8099.25,8547.71,8791.19,9077.35,9248.62,9376.01,9521.78,9602.04,9701.33,9750.35,9834.58,9941.7,10082.78,10184.57,10251.71,10276.49,10281.65,10351.72,10310.1,10281.71,10201.5,9860.21,9725.97,9425.62,9134.66,8984.17,8951.62,8786.99,8534.01,8439.53,8137.27,7933.44,7777.16,7569.8,8577.093125,411700.47
NSW,2015/1/8,4,0,21.2,28,24.6,0,7365.62,7143.54,6869.08,6584.97,6359.68,6184.65,6089.77,6101.37,6151.47,6330.05,6429.62,6824.07,7169.94,7592.07,8007.24,8329.59,8608.58,8849.84,9008.18,9126.66,9274.02,9357.04,9459,9540.38,9615.6,9827.25,9920.54,10103.19,10230.01,10347.23,10450.79,10559.85,10628.78,10585.69,10547.79,10288,10109.89,9730.8,9467.2,9346.68,9321.78,9107.92,8834.14,8701.8,8422.25,8285.33,8028.58,7718.26,8602.82875,412935.78
NSW,2015/1/9,5,0,21.8,29.9,25.85,0,7572.07,7351.06,7082.22,6719.64,6469.12,6317.34,6250.75,6273.6,6306.82,6487.77,6658.1,6958.01,7334.08,7837.18,8278.68,8615.23,8959.72,9294.68,9543.48,9745.73,9920.26,9996.64,10242.98,10439.37,10557.88,10679.88,10831.21,10953.25,11002.24,11059.48,11096.85,10799.94,10498.14,10247.83,9938.87,9614.8,9467.43,9237.71,9078.97,9116.12,9012.39,8872.9,8553.42,8498.52,8294.35,8249.1,7999.7,7745.16,8792.930625,422060.67
NSW,2015/1/10,6,0,22,28.7,25.35,0,7541.11,7263,6975.55,6677.46,6452.79,6295.13,6172.64,6164.1,6170.51,6188.16,6286.67,6355.68,6507.28,6781.24,7065.68,7433.16,7694.34,8020.28,8191.9,8316.74,8414.85,8536.05,8671.37,8775.4,8774.25,8837.92,8865.33,8935.32,8936.26,8929.57,8949.26,8891.95,8905.56,8851.23,8952.69,8877.51,8747.55,8500.21,8313.67,8240,8196.13,8056.91,7842.17,7724.4,7530.25,7435.64,7279.06,7008.66,7802.762292,374532.59
